ID_KIID,ID_ZESPOLU,NAZWA_PLIKU
297,13,20200407_Noble_Fund_Akcji_Polskich_KIID.pdf
298,13,20200101_Noble_Fund_Timingowy_KIID.pdf
299,13,20200219_Noble_Fund_Mieszany_KIID.pdf
300,13,Noble_Fund_Akcji_Europejskich_20211201.pdf
301,13,02b4429bf5c7b6bf2e8a7cf18fd57f98da0dd827.pdf
302,13,Noble_Fund_Strategii_Dluznych_20221013.pdf
303,13,c4b4e52639b59a6f87e9400960a0ca6454f77c50.pdf
304,13,6988c5190dfeaf958353eb359369a15a655b4a4b.pdf
305,13,KIID_PFR_PPK_2065_2022-09-23.pdf
306,13,Noble_Fund_Emerytalny_20211201.pdf
307,13,2d798566-dd9c-4151-9f3b-3ff32ebc1da9.pdf
308,13,ff134fcf-eb19-4f7f-9bf9-23277c965fd1.pdf
309,13,46cc04dd-ce16-4225-a715-d3b9a318c6d6.pdf
310,13,20200219_Open_Finance_Aktywnej_Alokacji.pdf
311,13,4c08ca356de62284d4a7a44350c3b4618dd71e5d.pdf
312,13,2013_04_29_Noble_Fund_Akcji_KIID.pdf
313,13,Open_Finance_Aktywnej_Alokacji_20190219.pdf
314,13,Noble_Fund_Akcji_Polskich_20210101.pdf
315,13,Noble_Fund_Obligacji_20210217.pdf
316,13,Open_Finance_Akcji_MIS_20190219.pdf
317,13,Noble_Fund_Strategii_Mieszanych_20210217.pdf
318,13,f5c142f3-881c-4e1f-a988-762eb77c2b6e.pdf
319,13,a65a1dea8e659ab7f09dd79eac78be180253cbbe.pdf
320,13,20200219_Noble_Fund_Global_Return_KIID.pdf
321,13,KIID_BNP_TFOK_2022-09-20.pdf
322,13,6abe6341-b373-4fe6-8b2c-dee8e41ce58c.pdf
323,13,2013_04_29_Noble_Fund_Akcji_MiSS_KIID.pdf
324,13,Allianz_TFI_KIID_2060.pdf
325,13,KIID_ALIOR_Oszczednosciowy_kat.B.26.09.2022.pdf
326,13,Noble_Fund_Strategii_Mieszanych_20221013.pdf
327,13,bdab03d5ea251875353cdd5a7f50055904296c7e.pdf
328,13,cc025979-e396-41ad-9dc2-9fefb16f589b.pdf
329,13,KIID_VIG08B_2022-10-03.pdf
330,13,63d85099-457c-4c56-b4e6-11857a929c76.pdf
331,13,20200219_Open_Finance_Akcji_MIS.pdf
332,13,Noble_Fund_Timingowy_KIID.pdf
333,13,Allianz_TFI_KIID_2040.pdf
334,13,a312e24dfeaeb88feac71e8f52c32e9a5ab409d6.pdf
335,13,a50c827f-e76d-4344-b1a7-46a1828be98c.pdf
336,13,KIID_ALIOR_Oszczednosciowy_kat.A.26.09.2022.pdf
337,13,KIID_VIG08_2022-10-03.pdf
338,13,KIID_PFR_PPK_2045_2022-09-23.pdf
339,13,99b03394-1590-4bc7-b429-d42bac4013c7.pdf
340,13,Open_Finance_Stabilnego_Wzrostu_20200101.pdf
341,13,721c4054-e850-479a-8720-879acaddb880.pdf
